Sindromų lentelės sudarymo laikas:
K:1
N: 1, vykdymo laikas: 1 (milisekundės).
N: 6, vykdymo laikas: 7 (mikrosekundės).
N: 7, vykdymo laikas: 14 (mikrosekundės).
N: 8, vykdymo laikas: 29 (mikrosekundės).
N: 9, vykdymo laikas: 52 (mikrosekundės).
N: 10, vykdymo laikas: 105 (mikrosekundės).
N: 11, vykdymo laikas: 234 (mikrosekundės).
N: 12, vykdymo laikas: 446 (mikrosekundės).
N: 13, vykdymo laikas: 941 (mikrosekundės).
N: 14, vykdymo laikas: 1 (milisekundės).
N: 15, vykdymo laikas: 4 (milisekundės).
N: 16, vykdymo laikas: 9 (milisekundės).
N: 17, vykdymo laikas: 20 (milisekundės).
N: 18, vykdymo laikas: 42 (milisekundės).
N: 19, vykdymo laikas: 89 (milisekundės).
N: 20, vykdymo laikas: 211 (milisekundės).
N: 21, vykdymo laikas: 455 (milisekundės).
N: 22, vykdymo laikas: 1 (sekundės).
N: 23, vykdymo laikas: 2 (sekundės).
N: 24, vykdymo laikas: 6 (sekundės).
N: 25, vykdymo laikas: 14 (sekundės).
K:5
N: 5, vykdymo laikas: 11 (mikrosekundės).
N: 6, vykdymo laikas: 7 (mikrosekundės).
N: 7, vykdymo laikas: 12 (mikrosekundės).
N: 8, vykdymo laikas: 22 (mikrosekundės).
N: 9, vykdymo laikas: 51 (mikrosekundės).
N: 10, vykdymo laikas: 96 (mikrosekundės).
N: 11, vykdymo laikas: 211 (mikrosekundės).
N: 12, vykdymo laikas: 421 (mikrosekundės).
N: 13, vykdymo laikas: 891 (mikrosekundės).
N: 14, vykdymo laikas: 1 (milisekundės).
N: 15, vykdymo laikas: 4 (milisekundės).
N: 16, vykdymo laikas: 8 (milisekundės).
N: 17, vykdymo laikas: 18 (milisekundės).
N: 18, vykdymo laikas: 40 (milisekundės).
N: 19, vykdymo laikas: 87 (milisekundės).
N: 20, vykdymo laikas: 200 (milisekundės).
N: 21, vykdymo laikas: 441 (milisekundės).
N: 22, vykdymo laikas: 943 (milisekundės).
N: 23, vykdymo laikas: 2 (sekundės).
N: 24, vykdymo laikas: 5 (sekundės).
N: 25, vykdymo laikas: 12 (sekundės).
K:6
N: 6, vykdymo laikas: 13 (mikrosekundės).
N: 7, vykdymo laikas: 10 (mikrosekundės).
N: 8, vykdymo laikas: 19 (mikrosekundės).
N: 9, vykdymo laikas: 41 (mikrosekundės).
N: 10, vykdymo laikas: 95 (mikrosekundės).
N: 11, vykdymo laikas: 193 (mikrosekundės).
N: 12, vykdymo laikas: 409 (mikrosekundės).
N: 13, vykdymo laikas: 845 (mikrosekundės).
N: 14, vykdymo laikas: 1 (milisekundės).
N: 15, vykdymo laikas: 3 (milisekundės).
N: 16, vykdymo laikas: 8 (milisekundės).
N: 17, vykdymo laikas: 18 (milisekundės).
N: 18, vykdymo laikas: 39 (milisekundės).
N: 19, vykdymo laikas: 89 (milisekundės).
N: 20, vykdymo laikas: 181 (milisekundės).
N: 21, vykdymo laikas: 395 (milisekundės).
N: 22, vykdymo laikas: 840 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 4 (sekundės).
N: 25, vykdymo laikas: 10 (sekundės).
K:7
N: 7, vykdymo laikas: 14 (mikrosekundės).
N: 8, vykdymo laikas: 16 (mikrosekundės).
N: 9, vykdymo laikas: 35 (mikrosekundės).
N: 10, vykdymo laikas: 78 (mikrosekundės).
N: 11, vykdymo laikas: 186 (mikrosekundės).
N: 12, vykdymo laikas: 399 (mikrosekundės).
N: 13, vykdymo laikas: 790 (mikrosekundės).
N: 14, vykdymo laikas: 1 (milisekundės).
N: 15, vykdymo laikas: 3 (milisekundės).
N: 16, vykdymo laikas: 8 (milisekundės).
N: 17, vykdymo laikas: 17 (milisekundės).
N: 18, vykdymo laikas: 37 (milisekundės).
N: 19, vykdymo laikas: 80 (milisekundės).
N: 20, vykdymo laikas: 175 (milisekundės).
N: 21, vykdymo laikas: 366 (milisekundės).
N: 22, vykdymo laikas: 784 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 3 (sekundės).
N: 25, vykdymo laikas: 9 (sekundės).
K:8
N: 8, vykdymo laikas: 19 (mikrosekundės).
N: 9, vykdymo laikas: 31 (mikrosekundės).
N: 10, vykdymo laikas: 68 (mikrosekundės).
N: 11, vykdymo laikas: 155 (mikrosekundės).
N: 12, vykdymo laikas: 371 (mikrosekundės).
N: 13, vykdymo laikas: 810 (mikrosekundės).
N: 14, vykdymo laikas: 1 (milisekundės).
N: 15, vykdymo laikas: 3 (milisekundės).
N: 16, vykdymo laikas: 7 (milisekundės).
N: 17, vykdymo laikas: 17 (milisekundės).
N: 18, vykdymo laikas: 36 (milisekundės).
N: 19, vykdymo laikas: 79 (milisekundės).
N: 20, vykdymo laikas: 168 (milisekundės).
N: 21, vykdymo laikas: 358 (milisekundės).
N: 22, vykdymo laikas: 765 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 3 (sekundės).
N: 25, vykdymo laikas: 8 (sekundės).
K:9
N: 9, vykdymo laikas: 24 (mikrosekundės).
N: 10, vykdymo laikas: 54 (mikrosekundės).
N: 11, vykdymo laikas: 134 (mikrosekundės).
N: 12, vykdymo laikas: 314 (mikrosekundės).
N: 13, vykdymo laikas: 738 (mikrosekundės).
N: 14, vykdymo laikas: 1 (milisekundės).
N: 15, vykdymo laikas: 3 (milisekundės).
N: 16, vykdymo laikas: 7 (milisekundės).
N: 17, vykdymo laikas: 16 (milisekundės).
N: 18, vykdymo laikas: 35 (milisekundės).
N: 19, vykdymo laikas: 75 (milisekundės).
N: 20, vykdymo laikas: 164 (milisekundės).
N: 21, vykdymo laikas: 352 (milisekundės).
N: 22, vykdymo laikas: 749 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 3 (sekundės).
N: 25, vykdymo laikas: 7 (sekundės).
K:10
N: 10, vykdymo laikas: 63 (mikrosekundės).
N: 11, vykdymo laikas: 167 (mikrosekundės).
N: 12, vykdymo laikas: 366 (mikrosekundės).
N: 13, vykdymo laikas: 680 (mikrosekundės).
N: 14, vykdymo laikas: 4 (milisekundės).
N: 15, vykdymo laikas: 3 (milisekundės).
N: 16, vykdymo laikas: 7 (milisekundės).
N: 17, vykdymo laikas: 14 (milisekundės).
N: 18, vykdymo laikas: 34 (milisekundės).
N: 19, vykdymo laikas: 72 (milisekundės).
N: 20, vykdymo laikas: 157 (milisekundės).
N: 21, vykdymo laikas: 336 (milisekundės).
N: 22, vykdymo laikas: 721 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 3 (sekundės).
N: 25, vykdymo laikas: 6 (sekundės).
K:11
N: 11, vykdymo laikas: 67 (mikrosekundės).
N: 12, vykdymo laikas: 220 (mikrosekundės).
N: 13, vykdymo laikas: 535 (mikrosekundės).
N: 14, vykdymo laikas: 1 (milisekundės).
N: 15, vykdymo laikas: 3 (milisekundės).
N: 16, vykdymo laikas: 6 (milisekundės).
N: 17, vykdymo laikas: 14 (milisekundės).
N: 18, vykdymo laikas: 30 (milisekundės).
N: 19, vykdymo laikas: 68 (milisekundės).
N: 20, vykdymo laikas: 153 (milisekundės).
N: 21, vykdymo laikas: 324 (milisekundės).
N: 22, vykdymo laikas: 690 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 3 (sekundės).
N: 25, vykdymo laikas: 6 (sekundės).
K:12
N: 12, vykdymo laikas: 153 (mikrosekundės).
N: 13, vykdymo laikas: 441 (mikrosekundės).
N: 14, vykdymo laikas: 1 (milisekundės).
N: 15, vykdymo laikas: 2 (milisekundės).
N: 16, vykdymo laikas: 6 (milisekundės).
N: 17, vykdymo laikas: 13 (milisekundės).
N: 18, vykdymo laikas: 29 (milisekundės).
N: 19, vykdymo laikas: 64 (milisekundės).
N: 20, vykdymo laikas: 138 (milisekundės).
N: 21, vykdymo laikas: 307 (milisekundės).
N: 22, vykdymo laikas: 662 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 3 (sekundės).
N: 25, vykdymo laikas: 6 (sekundės).
K:13
N: 13, vykdymo laikas: 231 (mikrosekundės).
N: 14, vykdymo laikas: 907 (mikrosekundės).
N: 15, vykdymo laikas: 2 (milisekundės).
N: 16, vykdymo laikas: 5 (milisekundės).
N: 17, vykdymo laikas: 13 (milisekundės).
N: 18, vykdymo laikas: 28 (milisekundės).
N: 19, vykdymo laikas: 62 (milisekundės).
N: 20, vykdymo laikas: 133 (milisekundės).
N: 21, vykdymo laikas: 289 (milisekundės).
N: 22, vykdymo laikas: 638 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 2 (sekundės).
N: 25, vykdymo laikas: 6 (sekundės).
K:14
N: 14, vykdymo laikas: 449 (mikrosekundės).
N: 15, vykdymo laikas: 1 (milisekundės).
N: 16, vykdymo laikas: 4 (milisekundės).
N: 17, vykdymo laikas: 11 (milisekundės).
N: 18, vykdymo laikas: 26 (milisekundės).
N: 19, vykdymo laikas: 61 (milisekundės).
N: 20, vykdymo laikas: 124 (milisekundės).
N: 21, vykdymo laikas: 272 (milisekundės).
N: 22, vykdymo laikas: 594 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 2 (sekundės).
N: 25, vykdymo laikas: 6 (sekundės).
K:15
N: 15, vykdymo laikas: 899 (mikrosekundės).
N: 16, vykdymo laikas: 3 (milisekundės).
N: 17, vykdymo laikas: 9 (milisekundės).
N: 18, vykdymo laikas: 23 (milisekundės).
N: 19, vykdymo laikas: 54 (milisekundės).
N: 20, vykdymo laikas: 123 (milisekundės).
N: 21, vykdymo laikas: 259 (milisekundės).
N: 22, vykdymo laikas: 559 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 2 (sekundės).
N: 25, vykdymo laikas: 5 (sekundės).
K:16
N: 16, vykdymo laikas: 1 (milisekundės).
N: 17, vykdymo laikas: 7 (milisekundės).
N: 18, vykdymo laikas: 18 (milisekundės).
N: 19, vykdymo laikas: 47 (milisekundės).
N: 20, vykdymo laikas: 116 (milisekundės).
N: 21, vykdymo laikas: 248 (milisekundės).
N: 22, vykdymo laikas: 535 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 2 (sekundės).
N: 25, vykdymo laikas: 5 (sekundės).
K:17
N: 17, vykdymo laikas: 3 (milisekundės).
N: 18, vykdymo laikas: 15 (milisekundės).
N: 19, vykdymo laikas: 38 (milisekundės).
N: 20, vykdymo laikas: 99 (milisekundės).
N: 21, vykdymo laikas: 234 (milisekundės).
N: 22, vykdymo laikas: 515 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 2 (sekundės).
N: 25, vykdymo laikas: 5 (sekundės).
K:18
N: 18, vykdymo laikas: 7 (milisekundės).
N: 19, vykdymo laikas: 30 (milisekundės).
N: 20, vykdymo laikas: 79 (milisekundės).
N: 21, vykdymo laikas: 201 (milisekundės).
N: 22, vykdymo laikas: 479 (milisekundės).
N: 23, vykdymo laikas: 1 (sekundės).
N: 24, vykdymo laikas: 2 (sekundės).
N: 25, vykdymo laikas: 4 (sekundės).
K:19
N: 19, vykdymo laikas: 15 (milisekundės).
N: 20, vykdymo laikas: 63 (milisekundės).
N: 21, vykdymo laikas: 165 (milisekundės).
N: 22, vykdymo laikas: 394 (milisekundės).
N: 23, vykdymo laikas: 978 (milisekundės).
N: 24, vykdymo laikas: 2 (sekundės).
N: 25, vykdymo laikas: 4 (sekundės).
K:20
N: 20, vykdymo laikas: 34 (milisekundės).
N: 21, vykdymo laikas: 125 (milisekundės).
N: 22, vykdymo laikas: 330 (milisekundės).
N: 23, vykdymo laikas: 839 (milisekundės).
N: 24, vykdymo laikas: 1 (sekundės).
N: 25, vykdymo laikas: 4 (sekundės).
K:21
N: 21, vykdymo laikas: 67 (milisekundės).
N: 22, vykdymo laikas: 261 (milisekundės).
N: 23, vykdymo laikas: 692 (milisekundės).
N: 24, vykdymo laikas: 1 (sekundės).
N: 25, vykdymo laikas: 3 (sekundės).
K:22
N: 22, vykdymo laikas: 131 (milisekundės).
N: 23, vykdymo laikas: 521 (milisekundės).
N: 24, vykdymo laikas: 1 (sekundės).
N: 25, vykdymo laikas: 3 (sekundės).
K:23
N: 23, vykdymo laikas: 275 (milisekundės).
N: 24, vykdymo laikas: 1 (sekundės).
N: 25, vykdymo laikas: 2 (sekundės).
K:24
N: 24, vykdymo laikas: 548 (milisekundės).
N: 25, vykdymo laikas: 2 (sekundės).
